Site,VLAN,Service,"	Bl Fo Mini Hubs"
CTG_B1473_1,,2G_fhl,CTG_X0048
CTG_B1476,,2G_scl,CTG_X0762
CTG_B1476,,3G_scl,CTG_X0762
CTG_B2236,,2G_fhl,CTG_B2236
CTG_B2338,,2G_fhl,"CTG_X0609 "
CTG_C18240,,2G_scl,CTG_X1602
CTG_C18240,,3G_scl,CTG_X1602
CTG_G0337,,2G_scl,CTG_X0519
CTG_G0397,,2G_scl,CTG_X0039
CTG_G1240,,2G_scl,CTG_X0645
CTG_G1240,,3G_scl,CTG_X0645
CTG_G1252,,2G_scl,CTG_X0247
CTG_G1256,,2G_scl,CTG_X0438
CTG_G1256,,3G_scl,CTG_X0438
CTG_G1266,,2G_scl,CTG_X0247
CTG_G1267,,2G_scl,CTG_X0247
CTG_G1272,,2G_scl,CTG_X0484
CTG_G1272,,3G_scl,CTG_X0484
CTG_G1277,,2G_scl,CTG_X0484
CTG_G1277,,3G_scl,CTG_X0484
CTG_G1280,,2G_scl,CTG_X0248
CTG_G1284,,2G_scl,CTG_X0247
CTG_G13430,,2G_scl,CTG_X1602
CTG_G13430,,3G_scl,CTG_X1602
CTG_G1369,,2G_scl,CTG_X0419
CTG_G1395,,2G_scl,CTG_X0513
CTG_G2006,,2G_scl,CTG_X0247
CTG_M0286,,2G_scl,CTG_X0519
CTG_M0529,,2G_fhl,CTG_M0529
CTG_M0529,,3G_fhl,CTG_M0529
CTG_M1029,,2G_fhl,CTG_M1029
CTG_M1030,,2G_fhl,CTG_M1029
CTG_M1030,,3G_fhl,CTG_M1029
CTG_M14180,,2G_fhl,CTG_X1588
CTG_M14180,,3G_fhl,CTG_X1588
CTG_M1425,,2G_fhl,CTG_M1425
CTG_M1425,,3G_fhl,CTG_M1425
CTG_M1427,,2G_fhl,"CTG_X0005 "
CTG_M1427,,3G_fhl,"CTG_X0005 "
CTG_R0021,,2G_scl,CTG_X0438
CTG_R0021,,3G_scl,CTG_X0438
CTG_R1184,,2G_scl,CTG_X0438
CTG_R1184,,3G_scl,CTG_X0438
CTG_R1190,,2G_scl,CTG_X0359
CTG_R1775,,2G_scl,CTG_R1775
CTG_R1775,,3G_scl,CTG_R1775
CTG_R1888,,2G_scl,CTG_X0484
CTG_R1888,,3G_scl,CTG_X0484
CTG_R1902,,2G_scl,CTG_X0438
CTG_R1902,,3G_scl,CTG_X0438
CTG_R19630,,2G_scl,CTG_X0652
CTG_R19630,,3G_scl,CTG_X0652
CTG_R2072,,2G_fhl,CTG_X1752
CTG_R2072,,3G_fhl,CTG_X1752
CTG_R2077,,2G_fhl,CTG_X1389
CTG_R2103,,2G_scl,"CTG_X0692 "
CTG_R2103,,3G_scl,"CTG_X0692 "
CTG_R2215,,2G_fhl,"CTG_X0002 "
CTG_R2215,,3G_fhl,"CTG_X0002 "
CTG_RX0375,,2G_fhl,CTG_X0007
CTG_RX0375,,3G_fhl,CTG_X0007
CTG_U0017,,3G_scl,CTG_X0519
CTG_U0017,,OM_scl,CTG_X0519
CTG_U0039,,3G_scl,CTG_X0039
CTG_U0039,,OM_scl,CTG_X0039
CTG_U0090,,3G_scl,CTG_X0090
CTG_U0090,,OM_scl,CTG_X0090
CTG_U0106,,3G_scl,CTG_X0419
CTG_U0106,,OM_scl,CTG_X0419
CTG_U0247,,3G_scl,CTG_X0247
CTG_U0247,,OM_scl,CTG_X0247
CTG_U0248,,3G_scl,CTG_X0248
CTG_U0248,,OM_scl,CTG_X0248
CTG_U0252,,3G_scl,CTG_X0419
CTG_U0252,,OM_scl,CTG_X0419
CTG_U0273,,3G_scl,CTG_X0247
CTG_U0273,,OM_scl,CTG_X0247
CTG_U0286,,3G_scl,CTG_X0519
CTG_U0286,,OM_scl,CTG_X0519
CTG_U0327,,3G_scl,CTG_X0519
CTG_U0327,,OM_scl,CTG_X0519
CTG_U0337,,3G_scl,CTG_X0519
CTG_U0337,,OM_scl,CTG_X0519
CTG_U0347,,3G_scl,CTG_X0247
CTG_U0347,,OM_scl,CTG_X0247
CTG_U0359,,3G_scl,CTG_X0359
CTG_U0359,,OM_scl,CTG_X0359
CTG_U0397,,3G_scl,CTG_X0039
CTG_U0397,,OM_scl,CTG_X0039
CTG_U0409,,3G_scl,CTG_X1391
CTG_U0409,,OM_scl,CTG_X1391
CTG_U0419,,3G_scl,CTG_X0419
CTG_U0419,,OM_scl,CTG_X0419
CTG_U0467,,3G_scl,CTG_X1391
CTG_U0467,,OM_scl,CTG_X1391
CTG_U0513,,3G_scl,CTG_X0513
CTG_U0513,,OM_scl,CTG_X0513
CTG_U0519,,3G_scl,CTG_X0519
CTG_U0519,,OM_scl,CTG_X0519
CTG_U0680,,3G_scl,CTG_X0039
CTG_U0680,,OM_scl,CTG_X0039
CTG_U0689,,3G_scl,CTG_X0090
CTG_U0689,,OM_scl,CTG_X0090
CTG_U0706,,3G_scl,CTG_X0248
CTG_U0706,,OM_scl,CTG_X0248
CTG_U0711,,3G_scl,CTG_X0247
CTG_U0711,,OM_scl,CTG_X0247
CTG_U0907,,3G_scl,CTG_X0247
CTG_U0907,,OM_scl,CTG_X0247
CTG_U1170,,3G_scl,CTG_X1391
CTG_U1170,,OM_scl,CTG_X1391
CTG_U1187,,3G_scl,CTG_X0513
CTG_U1187,,OM_scl,CTG_X0513
CTG_U1190,,3G_scl,CTG_X0359
CTG_U1190,,OM_scl,CTG_X0359
CTG_U1252,,3G_scl,CTG_X0247
CTG_U1252,,OM_scl,CTG_X0247
CTG_U1266,,3G_scl,CTG_X0247
CTG_U1266,,OM_scl,CTG_X0247
CTG_U1267,,3G_scl,CTG_X0247
CTG_U1267,,OM_scl,CTG_X0247
CTG_U1280,,3G_scl,CTG_X0248
CTG_U1280,,OM_scl,CTG_X0248
CTG_U1284,,3G_scl,CTG_X0247
CTG_U1284,,OM_scl,CTG_X0247
CTG_U1313,,3G_scl,CTG_X0248
CTG_U1313,,OM_scl,CTG_X0248
CTG_U1369,,3G_scl,CTG_X0419
CTG_U1369,,OM_scl,CTG_X0419
CTG_U1382,,3G_scl,CTG_X0359
CTG_U1382,,OM_scl,CTG_X0359
CTG_U1386,,3G_scl,CTG_X1391
CTG_U1386,,OM_scl,CTG_X1391
CTG_U1390,,3G_scl,CTG_X0248
CTG_U1390,,OM_scl,CTG_X0248
CTG_U1391,,3G_scl,CTG_X1391
CTG_U1391,,OM_scl,CTG_X1391
CTG_U1395,,3G_scl,CTG_X0513
CTG_U1395,,OM_scl,CTG_X0513
CTG_U1554,,3G_scl,CTG_X0247
CTG_U1554,,OM_scl,CTG_X0247
CTG_U1610,,3G_scl,CTG_X0247
CTG_U1610,,OM_scl,CTG_X0247
CTG_U1643,,3G_scl,CTG_X0247
CTG_U1643,,OM_scl,CTG_X0247
CTG_U1851,,3G_scl,CTG_X0419
CTG_U1851,,OM_scl,CTG_X0419
CTG_U2006,,3G_scl,CTG_X0247
CTG_U2006,,OM_scl,CTG_X0247
CTG_UR2070,,2G_scl,CTG_X0359
CTG_UR2070,,3G_scl,CTG_X0359
CTG_UR2097,,3G_scl,CTG_X0359
CTG_UR2097,,OM_scl,CTG_X0359
